ID,Station Name,CPO / Operator,Ownership,State,District,City,Location / Address,Latitude,Longitude,Connector Count,Max Power (kW),Connector Categories,Connector Types,Charger Ratings (kW),Connector Ratings (kW),Record Count,Source,Snapshot Date
BEE-00039,Ather - Vijayawada,Ather,Private,Andhra Pradesh,Krishna,Vijayawada,"5/5, Beside Chaitanya Junior College, Bandar Road, Ganguru, Penamaluru, Andhra Pradesh 521139 (IS-17017-2-7)",16.467236,80.728576,1,3.3,LEV DC,LEV DC Charge Point (IS-17017-2-7),3.3,3.3,1,BEE,2025-10-26
BEE-00040,Ather - Vijayawada,Ather,Private,Andhra Pradesh,Krishna,Vijayawada,"Nh 16 Service Rd, Kunchanapalli, Andhra Pradesh 522501",16.469519,80.615045,1,3.3,LEV DC,LEV DC Charge Point (IS-17017-2-7),3.3,3.3,1,BEE,2025-10-26
BEE-00041,Ather - Vijayawada,Ather,Private,Andhra Pradesh,Krishna,Vijayawada,"Chowdary Pet Rd, Padmaja Nagar, Ayyappa Nagar, Vijayawada, Andhra Pradesh 520007 (IS-17017-2-7)",16.485202,80.682627,1,3.3,LEV DC,LEV DC Charge Point (IS-17017-2-7),3.3,3.3,1,BEE,2025-10-26
BEE-00042,Ather - Vijayawada,Ather,Private,Andhra Pradesh,Krishna,Vijayawada,"Kp Nagar Main Rd, Gurunanak Nagar, K P Nagar, Benz Circle, Vijayawada, Andhra Pradesh (IS-17017-2-7)",16.500726,80.657429,2,3.3,LEV DC,LEV DC Charge Point (IS-17017-2-7),3.3,3.3,2,BEE,2025-10-26
BEE-00043,Ather - Vijayawada,Ather,Private,Andhra Pradesh,Krishna,Vijayawada,"40-5-8, Tikkle Rd, Venkateswara Puram, Sidhartha Nagar, Labbipet, Vijayawada, Andhra Pradesh 520010 (IS-17017-2-7)",16.500783,80.64846,1,3.3,LEV DC,LEV DC Charge Point (IS-17017-2-7),3.3,3.3,1,BEE,2025-10-26
BEE-00044,Ather - Vijayawada,Ather,Private,Andhra Pradesh,Krishna,Vijayawada,"40- 07-22, Jammi Chettu St, Mogalrajapuram, Labbipet, Vijayawada, Andhra Pradesh 520010 (IS-17017-2-7)",16.504645,80.643785,1,3.3,LEV DC,LEV DC Charge Point (IS-17017-2-7),3.3,3.3,1,BEE,2025-10-26
BEE-00045,Ather - Vijayawada,Ather,Private,Andhra Pradesh,Krishna,Vijayawada,"Padmavathi Ghat, Krishnalanka, Vijayawada, Andhra Pradesh 520013",16.506758,80.615828,1,3.3,LEV DC,LEV DC Charge Point (IS-17017-2-7),3.3,3.3,1,BEE,2025-10-26
BEE-00046,Ather - Vijayawada,Ather,Private,Andhra Pradesh,Krishna,Vijayawada,"D.No. 27-16-104, Besant Road Entrance Opp: Raghavaiah Park, Bunder Rd, Vijayawada, Andhra Pradesh 520002 (IS-17017-2-7)",16.508521,80.625938,1,3.3,LEV DC,LEV DC Charge Point (IS-17017-2-7),3.3,3.3,1,BEE,2025-10-26
BEE-00047,Ather - Vijayawada,Ather,Private,Andhra Pradesh,Krishna,Vijayawada,"Ward No.2 Brts Road, Beside Model Dairy Outlet, Divine Nagar, Machavaram, Vijayawada, Andhra Pradesh 520004 (IS-17017-2-7)",16.524532,80.656119,1,3.3,LEV DC,LEV DC Charge Point (IS-17017-2-7),3.3,3.3,1,BEE,2025-10-26
BEE-00048,Ather - Vijayawada,Ather,Private,Andhra Pradesh,Krishna,Vijayawada,"Beside Vijayawada Airport, Nh5, Durgapuram Kesarapalli, Village, Gannavaram, Andhra Pradesh 521101 (IS-17017-2-7)",16.532584,80.792134,1,3.3,LEV DC,LEV DC Charge Point (IS-17017-2-7),3.3,3.3,1,BEE,2025-10-26
BEE-00049,Ather - Vijayawada,Ather,Private,Andhra Pradesh,Krishna,Vijayawada,"Mailurai Center, Beside National Highway 65, Near Mile Stone, Venkateswara Nagar, Mahendra Nagar, Gollapudi, Vijayawada, Andhra Pradesh 521225",16.539605,80.582926,1,3.3,Other,(IS-17017-2-7),3.3,3.3,1,BEE,2025-10-26
BEE-00050,Ather - Bhimavaram,Ather,Private,Andhra Pradesh,West Godavari,Bhimavaram,"Ggv8+Qq3, Abhiruchi Building, Juvvalapalem Rd, Hamsameda, Bhimavaram, Andhra Pradesh 534202 (IS-17017-2-7)",16.544476,81.516966,1,3.3,LEV DC,LEV DC Charge Point (IS-17017-2-7),3.3,3.3,1,BEE,2025-10-26
BEE-00051,Ather - Bhimavaram,Ather,Private,Andhra Pradesh,West Godavari,Bhimavaram,"Rk Complex, Undi Rd, Narasimhapuram, Bhimavaram, Andhra Pradesh 534202 (IS-17017-2-7)",16.553485,81.509125,2,3.3,LEV DC,LEV DC Charge Point (IS-17017-2-7),3.3,3.3,2,BEE,2025-10-26
BEE-00052,Ather - Vijayawada,Ather,Private,Andhra Pradesh,Krishna,Vijayawada,"Nh 65, Near Hp Petrol Bunk, Ibrahimpatnam Vijayawada, Vijayawada, Andhra Pradesh 521456 (IS-17017-2-7)",16.578756,80.5284,1,3.3,LEV DC,LEV DC Charge Point (IS-17017-2-7),3.3,3.3,1,BEE,2025-10-26
BEE-00053,Ather - Vijayawada,Ather,Private,Andhra Pradesh,Krishna,Vijayawada,"Dr. Prabhavathi Hospital Road, Near Venkatrao Pet Postoffice, Eluru, Andhra Pradesh 534001 (IS-17017-2-7)",16.712249,81.102931,1,3.3,LEV DC,LEV DC Charge Point (IS-17017-2-7),3.3,3.3,1,BEE,2025-10-26
BEE-00054,Ather - Rajahmundry,Ather,Private,Andhra Pradesh,Visakhapatnam,Rajahmundry,"16-5-7, Nalla Krishna Veni Colony, Undrajavaram-Velagadurru Road, Opp. Sfs High School, Ngo'S Colony, Palangi, Tanuku, Andhra Pradesh 534211",16.760265,81.694515,1,3.3,Other,(IS-17017-2-7),3.3,3.3,1,BEE,2025-10-26
BEE-00055,Ather - Rajahmundry,Ather,Private,Andhra Pradesh,Visakhapatnam,Rajahmundry,"Door No:- 2-16-17 Jubliee Road Bank Of Baroda Building, Near Railway Station, Tadepalligudem, Andhra Pradesh 534101 (IS-17017-2-7)",16.813227,81.527013,1,3.3,LEV DC,LEV DC Charge Point (IS-17017-2-7),3.3,3.3,1,BEE,2025-10-26
BEE-00056,Ather - Kakinada,Ather,Private,Andhra Pradesh,Kakinada,Kakinada,"Beside Lalitha Jewellery, Balaji Cheruvu Center, Kakinada, Andhra Pradesh 533001 (IS-17017-2-7)",16.95245,82.232389,1,3.3,LEV DC,LEV DC Charge Point (IS-17017-2-7),3.3,3.3,1,BEE,2025-10-26
BEE-00057,Ather - Kakinada,Ather,Private,Andhra Pradesh,Kakinada,Kakinada,"Beside Bashyam School, Shanti Nagar, Kakinada, Andhra Pradesh 533003",16.968347,82.245258,1,3.3,LEV DC,LEV DC Charge Point (IS-17017-2-7),3.3,3.3,1,BEE,2025-10-26
BEE-00058,Ather - Kakinada,Ather,Private,Andhra Pradesh,Kakinada,Kakinada,"Sarpavaram Junction, Dist, Ramnyyapeta, Bank Colony, Kakinada, Andhra Pradesh 533005 (IS-17017-2-7)",16.995111,82.239742,2,3.3,LEV DC,LEV DC Charge Point (IS-17017-2-7),3.3,3.3,2,BEE,2025-10-26
BEE-00059,Ather - Rajahmundry,Ather,Private,Andhra Pradesh,Visakhapatnam,Rajahmundry,"Opp. Manikanta Book Centre, Innespeta, Rajamahendravaram, Andhra Pradesh 533101 (IS-17017-2-7)",16.997215,81.773444,1,3.3,LEV DC,LEV DC Charge Point (IS-17017-2-7),3.3,3.3,1,BEE,2025-10-26
BEE-00060,Ather - Rajahmundry,Ather,Private,Andhra Pradesh,Visakhapatnam,Rajahmundry,"Xqwx+Vpc, Aditya Nagar, Rajamahendravaram, Andhra Pradesh 533106",16.997432,81.799289,2,3.3,LEV DC,LEV DC Charge Point (IS-17017-2-7),3.3,3.3,2,BEE,2025-10-26
BEE-00061,Ather - Rajahmundry,Ather,Private,Andhra Pradesh,Visakhapatnam,Rajahmundry,"86-07-16/1, Ground Floor, Tilak Rd, Beside Sai Baba Temple, Vadrevu Nagar, Rajamahendravaram, Andhra Pradesh 533103 (IS-17017-2-7)",17.00443,81.79517,1,3.3,LEV DC,LEV DC Charge Point (IS-17017-2-7),3.3,3.3,1,BEE,2025-10-26
BEE-00062,Ather - Rajahmundry,Ather,Private,Andhra Pradesh,Visakhapatnam,Rajahmundry,"Y Junction Park, Beside Hp Petrol Bunk Jampeta Road, Kambala Peta, Rajamahendravaram, Andhra Pradesh 533101 (IS-17017-2-7)",17.011674,81.781742,1,3.3,LEV DC,LEV DC Charge Point (IS-17017-2-7),3.3,3.3,1,BEE,2025-10-26
BEE-00063,Ather - Kakinada,Ather,Private,Andhra Pradesh,Kakinada,Kakinada,"Carnival Street, Below Viveka Junior College, Tuni, Andhra Pradesh 533401",17.358069,82.54655,1,3.3,LEV DC,LEV DC Charge Point (IS-17017-2-7),3.3,3.3,1,BEE,2025-10-26
BEE-00064,Ather - Visakhapatnam,Ather,Private,Andhra Pradesh,Visakhapatnam,Visakhapatnam,"31-2-4/5, Nh16, Opp. All India Radio Station, Kurmannapalem, Visakhapatnam, Andhra Pradesh (IS-17017-2-7)",17.685143,83.157866,1,3.3,LEV DC,LEV DC Charge Point (IS-17017-2-7),3.3,3.3,1,BEE,2025-10-26
BEE-00065,Ather - Visakhapatnam,Ather,Private,Andhra Pradesh,Visakhapatnam,Visakhapatnam,"8-8-36, Gnt Rd, Medical Center, Gajuwaka, Visakhapatnam, Andhra Pradesh",17.686181,83.206529,1,3.3,LEV DC,LEV DC Charge Point (IS-17017-2-7),3.3,3.3,1,BEE,2025-10-26
BEE-00066,Ather - Visakhapatnam,Ather,Private,Andhra Pradesh,Visakhapatnam,Visakhapatnam,"Lankelapalem, Andhra Pradesh 531021",17.687771,83.089789,1,3.3,LEV DC,LEV DC Charge Point (IS-17017-2-7),3.3,3.3,1,BEE,2025-10-26
BEE-00067,Ather - Visakhapatnam,Ather,Private,Andhra Pradesh,Visakhapatnam,Visakhapatnam,"S.No.1627/3B1, Jalagalamadhum Junction, Anakapalle, Sh 155, Sankaram, Andhra Pradesh 531001 (IS-17017-2-7)",17.689074,83.028522,1,3.3,LEV DC,LEV DC Charge Point (IS-17017-2-7),3.3,3.3,1,BEE,2025-10-26
BEE-00068,Ather - Visakhapatnam,Ather,Private,Andhra Pradesh,Visakhapatnam,Visakhapatnam,"Flat 101,102,103 Kbc Appartments, Block A, Duvvada Railway Station Rd, Near Icici Bank, Kurmannapalem, Andhra Pradesh 530046",17.696216,83.164278,1,3.3,Other,(IS-17017-2-7),3.3,3.3,1,BEE,2025-10-26
BEE-00069,Ather - Visakhapatnam,Ather,Private,Andhra Pradesh,Visakhapatnam,Visakhapatnam,"28-2-48, Suryabagh, Jagadamba Junction, Visakhapatnam, Andhra Pradesh 530020 (IS-17017-2-7)",17.710993,83.300527,1,3.3,LEV DC,LEV DC Charge Point (IS-17017-2-7),3.3,3.3,1,BEE,2025-10-26
BEE-00070,Ather - Visakhapatnam,Ather,Private,Andhra Pradesh,Visakhapatnam,Visakhapatnam,"7-5-182, Dr Ntr Beach Rd, Beside Aqua Sports Complex, Pandurangapuram, Visakhapatnam, Andhra Pradesh 530003 (IS-17017-2-7)",17.716122,83.324945,1,3.3,LEV DC,LEV DC Charge Point (IS-17017-2-7),3.3,3.3,1,BEE,2025-10-26
BEE-00071,Ather - Visakhapatnam,Ather,Private,Andhra Pradesh,Visakhapatnam,Visakhapatnam,"Shop No. 8, 6-16, Chinna Waltair Main Rd, Chinna Waltair, Pedda Waltair, Visakhapatnam, Andhra Pradesh 530017 (IS-17017-2-7)",17.724712,83.333038,1,3.3,LEV DC,LEV DC Charge Point (IS-17017-2-7),3.3,3.3,1,BEE,2025-10-26
BEE-00072,Ather - Visakhapatnam,Ather,Private,Andhra Pradesh,Visakhapatnam,Visakhapatnam,"Railway New Colony Rd, Sri Siddi Enclave, Railway New Colony, Visakhapatnam, Andhra Pradesh (IS-17017-2-7)",17.727627,83.295731,2,3.3,LEV DC,LEV DC Charge Point (IS-17017-2-7),3.3,3.3,2,BEE,2025-10-26
BEE-00073,Ather - Visakhapatnam,Ather,Private,Andhra Pradesh,Visakhapatnam,Visakhapatnam,"Kakatiya Cultural Society, 52-9-3/1, Below Sony Service Center, Opposit, Landmark:, Near Cmr Central, Resapuvanipalem, Maddilapalem, Visakhapatnam, Andhra Pradesh 530013",17.734162,83.316165,1,3.3,Other,(IS-17017-2-7),3.3,3.3,1,BEE,2025-10-26
BEE-00074,Ather - Visakhapatnam,Ather,Private,Andhra Pradesh,Visakhapatnam,Visakhapatnam,"49-34-11, Abid Nagar, Main Rd, Near Andhra Bank, Akkayyapalem, Visakhapatnam, Andhra Pradesh 530012 (IS-17017-2-7)",17.738476,83.300133,1,3.3,LEV DC,LEV DC Charge Point (IS-17017-2-7),3.3,3.3,1,BEE,2025-10-26
BEE-00075,Ather - Visakhapatnam,Ather,Private,Andhra Pradesh,Visakhapatnam,Visakhapatnam,"50-49-43/A, Tpt Colony, Balayya Sastri Layout, Seethammadara, Visakhapatnam, Andhra Pradesh 530013 (IS-17017-2-7)",17.740704,83.311686,1,3.3,LEV DC,LEV DC Charge Point (IS-17017-2-7),3.3,3.3,1,BEE,2025-10-26
BEE-00076,Ather - Visakhapatnam,Ather,Private,Andhra Pradesh,Visakhapatnam,Visakhapatnam,"P6Wh+7Xg, Near Siyalam,Back Side Of, Nad Junction, Buchirajupalem, Nstl, Visakhapatnam, Andhra Pradesh 530027 (IS-17017-2-7)",17.745741,83.229978,1,3.3,LEV DC,LEV DC Charge Point (IS-17017-2-7),3.3,3.3,1,BEE,2025-10-26
BEE-00077,Ather - Visakhapatnam,Ather,Private,Andhra Pradesh,Visakhapatnam,Visakhapatnam,"39-27-15, Appayya Nagar, Punjab Hotel Junction, Vuda Colony, Kalinganagar, Madhavadhara, Visakhapatnam, Andhra Pradesh 530018",17.747145,83.250223,1,3.3,Other,(IS-17017-2-7),3.3,3.3,1,BEE,2025-10-26
BEE-00078,Ather - Visakhapatnam,Ather,Private,Andhra Pradesh,Visakhapatnam,Visakhapatnam,"Musalayyapalem, Sagar Nagar, Visakhapatnam, Andhra Pradesh 530045",17.766767,83.362976,1,3.3,LEV DC,LEV DC Charge Point (IS-17017-2-7),3.3,3.3,1,BEE,2025-10-26
BEE-00079,Ather - Visakhapatnam,Ather,Private,Andhra Pradesh,Visakhapatnam,Visakhapatnam,"5-52 Beside Exhibition Ground, Pendurthi-Nad Brts Express Way, Krishnarayapuram, Vepagunta, Visakhapatnam, Andhra Pradesh 530047",17.781581,83.215468,1,3.3,Other,(IS-17017-2-7),3.3,3.3,1,BEE,2025-10-26
